id,sku,titulo,descripcion,categorias,marca,precio,precioAnterior,stock,disponible,imagenes
GAF001,es. 0RB3025,Ray Ban AVIATOR LARGE METAL,"Las gafas de sol Rayban Aviator han sido reinterpretadas una y otra vez a lo largo de los años, pero su espíritu inquebrantable permanece intacto. Desde las versiones clásicas hasta las ediciones especiales, cada par es una declaración de estilo que trasciende las tendencias pasajeras.","Ray-Ban, gafas, sol",Ray-Ban,163,,1,sí,https://images2.ray-ban.com//cdn-record-files-pi/f2a2b356-cf47-4e4c-bd0e-a35900057b03/453350a3-3444-4336-95dd-ad1b007c0da8/0RB3025__L0205__STD__shad__qt.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2 | https://images2.ray-ban.com//cdn-record-files-pi/f2a2b356-cf47-4e4c-bd0e-a35900057b03/d50aff28-bfb5-44a3-bce5-ad1b007c1ac5/0RB3025__L0205__STD__shad__fr.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2 | https://images2.ray-ban.com//cdn-record-files-pi/f2a2b356-cf47-4e4c-bd0e-a35900057b03/8fc1069f-8780-4bda-a838-ad1b007c18cb/0RB3025__L0205__STD__shad__bk.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2
GAF002,es. 0RB4940,Ray Ban WAYFARER PUFFER,,"Ray-Ban, gafas, sol",Ray-Ban,173,,,sí,https://images2.ray-ban.com//cdn-record-files-pi/cf751e15-6248-4106-b043-b299017b7fab/b47a4d41-23e9-4b34-b1ad-b29901818139/0RB4940__601_87__P21__shad__fr.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2 | https://images2.ray-ban.com//cdn-record-files-pi/cf751e15-6248-4106-b043-b299017b7fab/0130e1f7-e50c-46c5-b119-b2990181828f/0RB4940__601_87__P21__shad__lt.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2 | https://images2.ray-ban.com//cdn-record-files/dressedon/595246cd-5c80-4c5e-a37f-b302007b563c/0RB4940__601_87__SHOOT__om1.png
GAF003,es. 0RB2140,Ray Ban ORIGINAL WAYFARER CLASSIC,,"Ray-Ban, gafas, sol",Ray-Ban,213,,,sí,https://images2.ray-ban.com//cdn-record-files-pi/cffd73dc-8021-4268-80e3-a35800041c9c/38beb367-52eb-4550-8acc-acfd008aeae6/0RB2140__901_58__STD__shad__qt.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2 | https://images2.ray-ban.com//cdn-record-files-pi/cffd73dc-8021-4268-80e3-a35800041c9c/2c4ac045-1802-40ae-8032-acfd008af83f/0RB2140__901_58__STD__shad__fr.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2 | https://images2.ray-ban.com//cdn-record-files-pi/cffd73dc-8021-4268-80e3-a35800041c9c/bd485dbf-b62f-44f7-8fb8-acfd008af681/0RB2140__901_58__STD__shad__bk.png?impolicy=RB_Product_clone&width=720&bgc=%23f2f2f2
GAF004,es. 0RB2140,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF005,es. 0RB2140,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF006,es. 0RB2140,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF007,es. 0RB2140,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF008,es. 0RB2140,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF009,es. 0RB4840S,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF010,es. 0RB4840S,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF011,es. 0RB2140,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF012,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF013,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF014,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF015,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF016,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF017,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF018,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF019,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF020,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF021,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF022,es. 0RB2186,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF023,es. 0RB4340,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF024,es. 0RB4340,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF025,es. 0RB4340,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF026,es. 0RB4340,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF027,es. 0RB4323,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF028,es. 0RB4323,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF029,es. 0RB4323,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF030,es. 0RB4187,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF031,es. 0RB4187,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF032,es. 0RB4187,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF033,es. 0RB4187,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF034,es. 0RB4187,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
GAF035,es. 0RB4171,Ray Ban,,"Ray-Ban, gafas, sol",Ray-Ban,,,,sí,
